Company Name,Car,Style,Range(Km/Full Charge),Transmission,VehicleType,PriceRange,Capacity(Seats),BootSpace,BaseModel,TopModel,Charging Time,Color,Free Services,Free Maintainance,Doors
Tata Motor,Tata Nexon EV,Compact SUV,312,Automatic,Electric,₹ 13.99 - 17.4 L,5,350 L,XM,Dark XZ Plus LUX,,,,,
Tata Motor,Tata Tigor EV,Subcompact Sedan,306,Automatic,Electric,₹ 12.49 - 13.64 L,5,316 L,XE,XZ Plus Dual Tone,,,,,
Tata Motor,Tata Nexon EV Max,Compact SUV,437,Automatic,Electric,₹ 17.74 - 19.24 L,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,,,,,
MG Motor,MG ZS EV,Compact SUV,419,Automatic,Electric,₹ 21.99 - 25.88 L,5,448 L,Excite,Exclusive,,,,,
Hyundai Motor India Ltd,Hyundai Kona Electric,Compact SUV,452,Automatic,Electric,₹ 23.79 - 23.98 L,5,332 L,Premium Dual Tone,HSE,,,,,
Jaguar,Jaguar I-Pace,Premium Midsize Sedan,470,Automatic,Electric,₹ 1.06 - 1.12 Cr,5,656 L,S,Sportback 55,,,,,
Audi,Audi E-Tron GT,Premium Coupe,388,Automatic,Electric,₹ 1.8 Cr,5,405 L,Quattro,na,,,,,
BYD Auto,BYD E6,Subcompact MPV,415,Automatic,Electric,₹ 29.15 L,5,580 L,STD,na,,,,,
Mercedes-Benz,Mercedes-Benz EQC,Compact SUV,471,Automatic,Electric,₹ 1 Cr,5,500 L,EQC 400 4MATIC, EQC 400 4MATIC AMG Line,,,,,
BMW,BMW iX,Premium Fullsize SUV,425,Automatic,Electric,₹ 1.16 Cr,5,500 L,na,na,,,,,
Porsche,Porsche Taycan,Premium Sports Sedan,na,Automatic,Electric,₹ 1.5 Cr,4,366 L,na,na,,,,,
Audi,Audi E-Tron,Compact SUV,400,Automatic,Electric,₹ 1.01 - 1.19 Cr,5,660 L,Premium Plus,Prestige,,,,,